suburb,postcode,region,pricingClassification,active,source
ALEXANDER HEIGHTS,6064,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
ALFRED COVE,6154,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
ALKIMOS,6038,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
ANKETELL,6167,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
APPLECROSS,6153,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
APPLECROSS,6953,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
APPLECROSS NORTH,6153,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
ARDROSS,6153,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
ARMADALE,6112,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
ARMADALE,6992,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
ASCOT,6104,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
ASHBY,6065,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
ASHENDON,6111,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
ASHFIELD,6054,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
ATTADALE,6156,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
ATWELL,6164,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
AUBIN GROVE,6164,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
AVELEY,6069,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
BAILUP,6082,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
BALCATTA,6021,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
BALCATTA,6914,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
BALDIVIS,6171,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
BALGA,6061,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
BALLAJURA,6066,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
BANJUP,6164,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
BANKSIA GROVE,6031,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
